Total,Speed,Direction
9.536333427777778,5.81152,NW
8.956622266666667,5.81152,NW
3.8899388777777775,4.91744,WNW
1.8911508379888269,5.81152,WNW
1.8886388888888888,3.12928,NNW
4.075122205555556,3.12928,NNW
12.855493831250001,4.91744,NW
28.577251603351957,12.07008,NNW
29.207122935064934,12.96416,NNW
26.18360011111111,9.83488,N
15.479899022471912,9.83488,N
9.818705644444444,8.9408,N
7.854544394444444,8.04672,N
6.405353281437126,4.91744,NNW
2.574404958677686,4.91744,N
0.8849828571428572,0.8940800000000001,SSE
1.5353743016759775,3.12928,SSW
3.1950670446927374,4.02336,SSW
3.125517869047619,7.15264,S
9.605883388888888,4.91744,S
6.8739833500000005,5.81152,SSE
11.847622355555556,8.04672,ESE
27.57367228333333,7.15264,E
31.91957717777778,12.07008,ENE
26.577733427777776,9.83488,NE
30.222766522222223,12.07008,ENE
35.37581086111111,12.07008,NE
33.72358827222222,13.85824,NE
31.862794033333333,12.07008,NE
27.789700005555556,11.176,NE
23.510415005681818,12.07008,NE
15.059116783333334,8.04672,NE
9.186766705555556,8.04672,ENE
10.9614001,7.15264,ENE
7.583982470930233,7.15264,NE
4.7369257085714285,7.15264,NE
4.438409096590909,8.04672,NE
4.4939213764044945,7.15264,NE
3.2701678321678322,5.81152,NE
2.433958823529412,4.91744,NNE
1.9121,5.81152,NE
3.7547666666666664,4.91744,NE
2.720588888888889,4.02336,NE
2.129548611111111,4.02336,N
2.4665095541401274,4.91744,NNE
3.6972203446327683,4.91744,NE
3.11250555,4.91744,NE
4.645882670391061,5.81152,NE
4.295915730337079,5.81152,NE
2.935338877777778,4.91744,NE
3.110511369318182,4.02336,NNE
3.0896592178770947,5.81152,NNE
2.5191944444444445,4.91744,NNE
2.812233327777778,5.81152,NNE
6.752750027777778,7.15264,N
7.251288883333334,7.15264,N
10.020472244444445,7.15264,N
17.45528818644068,11.176,NNE
9.04676080368098,11.176,N
10.402398994382022,9.83488,NNE
4.012232550387597,7.15264,NE
1.1140347443181817,4.91744,NNE
1.159713407821229,1.78816,N
2.087166403508772,0.8940800000000001,E
3.4529290258064513,3.12928,SSW
3.7521833222222223,7.15264,SSE
3.1359776648044693,5.81152,SSE
5.240796059210527,4.02336,ESE
5.64834995,3.12928,SE
8.47039756626506,8.04672,E
8.953434887005649,7.15264,E
14.297639005555556,8.04672,E
25.966228205555556,15.19936,E
25.172783383333332,13.85824,ENE
24.04044052542373,8.04672,ESE
